id,name,name_sk,description,element_color,row_weight,slug,created_at,updated_at
22,информатика,informatika,,#3F5EFB,1,,,
23,кибернетика,kybernetika,,#B92B27,2,,,
21,электротехника,elektrotechnika,,#CAC531,3,,,
24,искусственный интеллект,umelá inteligencia,,#FC466B,4,,,
25,архитектура и урбанизм,architektúra a urbanizmus,,#F12711,5,,,
20,машиностроение,strojárstvo,,#DD3E54,6,,,
2,экономика и менеджмент,ekonómia a manažment,,#B29D00,7,,,
15,география,vedy o Zemi,,#6A9113,8,,,
16,политология,politické vedy,,#302B63,9,,,
27,химия,chémia,,#FF0099,10,,,
28,математика,matematika,,#E44D26,11,,,
13,биология и биотехнологии,biológia,,#11998E,12,,,
12,медиа и коммуникации,mediálne a komunikačné štúdiá,,#F7797D,13,,,
30,транспорт и авиа,doprava a letectvo,,#2193B0,14,,,
32,социология,lociológia a sociálna antropológia,,#2980B9,15,,,
33,физика,fyzika,,#8FAF72,16,,,
34,логопедия,logopédia a liečebná pedagogika,,#20BDFF,17,,,
35,ветеринария,veterinárske lekárstvo,,#1D976C,18,,,
17,спорт,šport,,#56B4D3,19,,,
14,экология,ekológia,,#348F50,20,,,
10,психология,psychológia,,#4CA2CD,21,,,
7,история,historické vedy,,#F2994A,22,,,
5,философия,filozofia,,#5D26C1,23,,,
4,право,právo,,#0F2027,24,,,
3,филология,filológia,,#2B5876,25,,,
1,исскуство,umenie,,#E96443,26,,,
6,медицина и фармация,medicína a farmácia,,#4A00E0,27,,,
8,религия,teológia,,#603813,28,,,
9,педагогика,učiteľstvo a pedagogické vedy,,#3A7BD5,29,,,
11,социальная работа,sociálna práca,,#4E4376,30,,,
18,сельское хозяйство,poľnohospodárstvo a krajinárstvo,,#B5AC49,31,,,
19,пищевая промышленность,potravinárstvo,,#3CA55C,32,,,
26,безопасность,bezpečnostné vedy,,#03001E,33,,,
29,пространственное планирование,priestorové plánovanie,,#2C5364,34,,,
31,лесное хозяйство,lesníctvo a drevárstvo,,#1B6900,35,,,
