id,name,name_sk,description,years_of_study,slug,is_in_combination,academic_degree_id,faculty_id,direction_id,direction_2_id,created_at,updated_at
1,data science в экономике,data science v ekonómii,,2,,0,3,21,2,,,
2,data science в экономике,data science v ekonómii,,3,,0,1,21,2,,,
3,smart технологии в промышленности,smart technológie v priemysle,,3,,0,1,52,20,,,
4,авиационная и космическая технология,letecká a kozmická technika ,,3,,0,1,78,30,,,
5,автоматизация,automatizácia,,3,,0,1,17,23,,,
6,автоматизация и компьютеризация в химии и пищевой промышленности,automatizácia a informatizácia v chémii a potravinárstve,,2,,0,3,12,23,,,
7,автоматизация и компьютеризация машин и процессов,automatizácia a informatizácia strojov a procesov,,3,,0,1,101,23,,,
8,автоматизация и компьютеризация машин и процессов,automatizácia a informatizácia strojov a procesov,,2,,0,3,101,23,,,
9,автоматизация и компьютеризация процессов промышленности,automatizácia a informatizácia procesov v priemysle,,2,,0,3,79,23,,,
10,автоматизация и управление процессами получения и обработки сырья,automatizácia a riadenie procesov získavania a spracovania surovín,,3,,0,1,9,23,,,
11,автоматизированные производственные системы,automatizované výrobné systémy,,2,,0,3,103,20,,,
12,автомобили и мобильные рабочие машины,automobily a mobilné pracovné stroje,,2,,0,3,101,20,,,
13,автомобили и мобильные рабочие машины,automobily a mobilné pracovné stroje,,3,,0,1,101,20,,,
14,"автомобили, корабли и двигатели внутреннего сгорания","automobily, lode a spaľovacie motory",,2,,0,3,101,20,,,
15,"автомобили, корабли и двигатели внутреннего сгорания","automobily, lode a spaľovacie motory",,3,,0,1,101,20,,,
16,автомобильная мехатроника,automobilová mechatronika,,3,,0,1,18,23,,,
17,автомобильная электроника,automobilová elektronika,,3,,0,1,18,21,,,
18,автомобильная электроника,automobilová elektronika,,3,,0,1,19,21,,,
19,автомобильная электроника,automobilová elektronika,,2,,0,3,19,21,,,
20,автомобильное производство,automobilová výroba,,3,,0,1,102,20,,,
21,автомобильное производство,automobilová výroba,,2,,0,3,102,20,,,
22,автомобильные перевозки,automobilová doprava,,3,,0,1,104,20,,,
23,автомобильные транспортные системы,automobilové dopravné systémy,,2,,0,3,104,20,,,
24,аграрная торговля и маркетинг,agrárny obchod a marketing,,2,,0,3,16,2,,,
25,агробиотехнологии,agrobiotechnológie,,2,,0,3,11,13,,,
26,агробиотехнологии,agrobiotechnológie ,,3,,0,1,11,13,,,
27,агроэкология,agroekológia,,3,,0,1,6,18,,,
28,адаптивное лесное хозяйство,adaptívne lesníctvo,,2,,0,3,77,31,,,
29,актерское искусство,herectvo,,3,,0,1,13,1,,,
30,актуарий,aktuárstvo,,2,,0,3,21,2,,,
31,акушерство,pôrodná asistencia,,2,,0,4,73,6,,,
32,альпийская и высокогорная экология,alpínska a vysokohorská ekológia,,2,,0,4,114,14,,,
33,анализ данных и искусственный интеллект,analýza dát a umelá inteligencia,,3,,0,1,95,24,22,,
34,анализ данных и искусственный интеллект,analýza dát a umelá inteligencia,,2,,0,4,95,24,22,,
35,аналитическая химия,analytická chémia,,2,,0,4,94,27,,,
36,аналитическая химия,analytická chémia,,2,,0,4,95,27,,,
37,английский для перевода в экономической практике,angličtina pre preklad v hospodárskej praxi,,3,,0,1,68,3,,,
38,английский язык в профессиональном общении,anglický jazyk v odbornej komunikácii,,2,,0,4,67,3,,,
39,английский язык для европейских институтов и экономики,anglický jazyk pre európske inštitúcie a ekonomiku,,2,,0,4,69,3,,,
40,английский язык для европейских институтов и экономики,anglický jazyk pre európske inštitúcie a ekonomiku,,3,,0,1,69,3,,,
41,английский язык и англоязычная культура,anglický jazyk a anglofónne kultúry,,3,,0,1,64,3,,,
42,английский язык и англоязычная культура,anglický jazyk a anglofónne kultúry,,2,,0,4,64,3,,,
43,английский язык и англоязычные культуры,anglický jazyk a anglofónne kultúry,,2,,0,4,84,3,,,
