id,name,name_sk,description,years_of_study,slug,is_in_combination,academic_degree_id,faculty_id,direction_id,direction_2_id,created_at,updated_at
1,Data science в экономике,Data science v ekonómii,,2,,0,3,21,2,,,
2,Data science в экономике,Data science v ekonómii,,3,,0,1,21,2,,,
3,Smart технологии в промышленности,Smart technológie v priemysle,,3,,0,1,52,20,,,
4,Авиационная и космическая технология,Letecká a kozmická technika ,,3,,0,1,78,30,,,
5,Автоматизация,Automatizácia,,3,,0,1,17,23,,,
6,Автоматизация и компьютеризация в химии и пищевой промышленности,Automatizácia a informatizácia v chémii a potravinárstve,,2,,0,3,12,23,,,
7,Автоматизация и компьютеризация машин и процессов,Automatizácia a informatizácia strojov a procesov,,3,,0,1,101,23,,,
8,Автоматизация и компьютеризация машин и процессов,Automatizácia a informatizácia strojov a procesov,,2,,0,3,101,23,,,
9,Автоматизация и компьютеризация процессов промышленности,Automatizácia a informatizácia procesov v priemysle,,2,,0,3,79,23,,,
10,Автоматизация и управление процессами получения и обработки сырья,Automatizácia a riadenie procesov získavania a spracovania surovín,,3,,0,1,9,23,,,
11,Автоматизированные производственные системы,Automatizované výrobné systémy,,2,,0,3,103,20,,,
12,Автомобили и мобильные рабочие машины,Automobily a mobilné pracovné stroje,,2,,0,3,101,20,,,
13,Автомобили и мобильные рабочие машины,Automobily a mobilné pracovné stroje,,3,,0,1,101,20,,,
14,"Автомобили, корабли и двигатели внутреннего сгорания","Automobily, lode a spaľovacie motory",,2,,0,3,101,20,,,
15,"Автомобили, корабли и двигатели внутреннего сгорания","Automobily, lode a spaľovacie motory",,3,,0,1,101,20,,,
16,Автомобильная мехатроника,Automobilová mechatronika,,3,,0,1,18,23,,,
17,Автомобильная электроника,Automobilová elektronika,,3,,0,1,18,21,,,
18,Автомобильная электроника,Automobilová elektronika,,3,,0,1,19,21,,,
19,Автомобильная электроника,Automobilová elektronika,,2,,0,3,19,21,,,
20,Автомобильное производство,Automobilová výroba,,3,,0,1,102,20,,,
21,Автомобильное производство,Automobilová výroba,,2,,0,3,102,20,,,
22,Автомобильные перевозки,Automobilová doprava,,3,,0,1,104,20,,,
23,Автомобильные транспортные системы,Automobilové dopravné systémy,,2,,0,3,104,20,,,
24,Аграрная торговля и маркетинг,Agrárny obchod a marketing,,2,,0,3,16,2,,,
25,Агробиотехнологии,Agrobiotechnológie,,2,,0,3,11,13,,,
26,Агробиотехнологии,Agrobiotechnológie ,,3,,0,1,11,13,,,
27,Агроэкология,Agroekológia,,3,,0,1,6,18,,,
28,Адаптивное лесное хозяйство,Adaptívne lesníctvo,,2,,0,3,77,31,,,
29,Актерское искусство,Herectvo,,3,,0,1,13,1,,,
30,Актуарий,Aktuárstvo,,2,,0,3,21,2,,,
31,Акушерство,Pôrodná asistencia,,2,,0,4,73,6,,,
32,Альпийская и высокогорная экология,Alpínska a vysokohorská ekológia,,2,,0,4,114,14,,,
33,Анализ данных и искусственный интеллект,Analýza dát a umelá inteligencia,,3,,0,1,95,24,22,,
34,Анализ данных и искусственный интеллект,Analýza dát a umelá inteligencia,,2,,0,4,95,24,22,,
35,Аналитическая химия,Analytická chémia,,2,,0,4,94,27,,,
36,Аналитическая химия,Analytická chémia,,2,,0,4,95,27,,,
37,Английский для перевода в экономической практике,Angličtina pre preklad v hospodárskej praxi,,3,,0,1,68,3,,,
38,Английский язык в профессиональном общении,Anglický jazyk v odbornej komunikácii,,2,,0,4,67,3,,,
39,Английский язык для европейских институтов и экономики,Anglický jazyk pre európske inštitúcie a ekonomiku,,2,,0,4,69,3,,,
40,Английский язык для европейских институтов и экономики,Anglický jazyk pre európske inštitúcie a ekonomiku,,3,,0,1,69,3,,,
41,Английский язык и англоязычная культура,Anglický jazyk a anglofónne kultúry,,3,,0,1,64,3,,,
